2017-09-08T14:56:40.255313-07:00
discharge_multiday_utm_multiple_prices.json

0 00:00:00; 0; gc_1; ; None; initialize gc_1 - grid_controller
0 00:00:00; 0; utm_1; ; None; initialize utm_1 - Utility Meter
0 00:00:00; 0; eud_1; ; None; initialize eud_1 - light
0 00:00:00; 0; gc_1; ; None; registered utm_1
0 00:00:00; 0; utm_1; ; None; registered gc_1
0 00:00:00; 0; gc_1; ; None; registered eud_1
0 00:00:00; 0; eud_1; ; None; registered gc_1
0 00:00:00; 0; utm_1; turn_on; 1; Turning on utility meter
0 00:00:00; 0; eud_1; turn_on; 1; turn on eud_1
0 00:00:00; 0; eud_1; request_msg; 500.0; REQUEST to gc_1
0 00:00:01; 1; gc_1; ; None; Read MessageType.REQUEST from eud_1 with value 500.0
0 00:00:01; 1; battery_1; current soc 0.5, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 00:00:01; 1; gc_1; allocate_msg; -500.0; ALLOCATE to eud_1
0 00:00:02; 2; eud_1; ; None; Read MessageType.ALLOCATE from gc_1 with value -500.0
0 00:00:02; 2; eud_1; power_msg; 500.0; POWER to gc_1
0 00:00:03; 3; gc_1; ; None; Read MessageType.POWER from eud_1 with value 500.0
0 00:00:03; 3; battery_1; current soc 0.5, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 00:20:00; 1200; battery_1; current soc 0.496675, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 00:40:00; 2400; battery_1; current soc 0.4933416666666666, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 01:00:00; 3600; battery_1; current soc 0.49000833333333327, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 01:20:00; 4800; battery_1; current soc 0.4866749999999999, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 01:40:00; 6000; battery_1; current soc 0.48334166666666656, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 02:00:00; 7200; battery_1; current soc 0.4800083333333332, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 02:20:00; 8400; battery_1; current soc 0.47667499999999985, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 02:40:00; 9600; battery_1; current soc 0.4733416666666665, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 03:00:00; 10800; battery_1; current soc 0.47000833333333314, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 03:20:00; 12000; battery_1; current soc 0.4666749999999998, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 03:40:00; 13200; battery_1; current soc 0.46334166666666643, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 04:00:00; 14400; battery_1; current soc 0.4600083333333331, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 04:20:00; 15600; battery_1; current soc 0.4566749999999997, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 04:40:00; 16800; battery_1; current soc 0.45334166666666637, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 05:00:00; 18000; battery_1; current soc 0.450008333333333, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 05:20:00; 19200; battery_1; current soc 0.44667499999999966, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 05:40:00; 20400; battery_1; current soc 0.4433416666666663, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 06:00:00; 21600; eud_1; turn_off; 0; turn off eud_1
0 06:00:00; 21600; eud_1; power_msg; 0; POWER to gc_1
0 06:00:00; 21600; battery_1; current soc 0.44000833333333295, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 06:00:01; 21601; gc_1; ; None; Read MessageType.POWER from eud_1 with value 0
0 06:00:01; 21601; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 06:20:00; 22800; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 06:40:00; 24000; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 07:00:00; 25200; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 07:20:00; 26400; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 07:40:00; 27600; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 08:00:00; 28800; eud_1; turn_on; 1; turn on eud_1
0 08:00:00; 28800; eud_1; power_msg; 500.0; POWER to gc_1
0 08:00:00; 28800; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 08:00:01; 28801; gc_1; ; None; Read MessageType.POWER from eud_1 with value 500.0
0 08:00:01; 28801; battery_1; current soc 0.4400055555555551, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 08:20:00; 30000; battery_1; current soc 0.43667499999999954, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 08:40:00; 31200; battery_1; current soc 0.4333416666666662, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
0 09:00:00; 32400; battery_1; current soc 0.4300083333333328, current charge pref BatteryChargingPreference.NEUTRAL; None; unchanged charge preference
