PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,los angeles,,,,,,,,,
Location:,"LOS ANGELES INTL ARPT, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,30,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.3	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
2,20,0,0,0,12.8,0,0,12.8,0,0
2,20,1,0,0,12.2,0,0,12.2,0,0
2,20,2,0,0,11.7,1.5,0,11.7,0,0
2,20,3,0,0,11.1,0,0,11.1,0,0
2,20,4,0,0,10.6,2.6,0,10.6,0,0
2,20,5,0,0,10,1.5,0,10,0,0
2,20,6,18,11,10,0,14.272,7.21,12.234,6.446
2,20,7,365,50,12.8,0,196.34,18.334,158.878,150.025
2,20,8,635,82,16.1,1.5,477.784,28.709,393.506,378.225
2,20,9,760,107,19.4,2.6,727.88,36.933,587.396,565.386
2,20,10,823,124,20.6,1.5,908.191,46.527,701.274,674.716
2,20,11,844,132,22.2,3.1,1001.88,45.812,777.228,747.389
2,20,12,840,133,20.6,4.6,1006.362,41.444,798.509,767.716
2,20,13,818,126,18.9,5.2,926.703,36.835,752.141,723.407
2,20,14,771,112,18.9,5.7,773.355,33.008,637.526,613.568
2,20,15,671,89,18.9,5.2,542.024,29.209,448.716,431.649
2,20,16,454,59,18.3,5.2,265.749,22.978,215.318,205.09
2,20,17,65,22,16.7,5.2,40.216,16.595,32.315,26.15
2,20,18,0,0,15,3.6,0,15,0,0
2,20,19,0,0,15,2.1,0,15,0,0
2,20,20,0,0,15,2.1,0,15,0,0
2,20,21,0,0,14.4,2.1,0,14.4,0,0
2,20,22,0,0,13.9,1.5,0,13.9,0,0
2,20,23,0,0,13.3,1.5,0,13.3,0,0
2,21,0,0,0,12.8,0,0,12.8,0,0
2,21,1,0,0,12.2,0,0,12.2,0,0
2,21,2,0,0,11.7,0,0,11.7,0,0
2,21,3,0,0,11.7,1.5,0,11.7,0,0
2,21,4,0,0,10.6,2.1,0,10.6,0,0
2,21,5,0,0,10,1.5,0,10,0,0
2,21,6,72,10,10,1.5,26.219,8.655,20.043,14.111
2,21,7,547,35,13.3,1.5,242.617,18.467,192.251,182.598
2,21,8,773,54,17.2,2.1,520.288,29.933,424.767,408.487
2,21,9,874,70,20.6,2.1,763.93,40.242,606.027,583.303
2,21,10,909,86,22.8,1.5,934.555,49.402,710.747,683.79
2,21,11,930,86,20.6,4.6,1023.542,41.669,811.166,779.798
2,21,12,913,102,19.4,5.2,1033.144,39.359,828.466,796.304
2,21,13,901,97,19.4,4.1,962.012,40.485,766.594,737.226
2,21,14,802,75,19.4,5.2,745.324,33.852,611.707,588.763
2,21,15,473,129,19.4,4.1,455.565,29.34,378.028,363.228
2,21,16,448,68,17.8,5.2,272.426,22.464,221.848,211.453
2,21,17,128,20,16.1,4.6,54.62,16.317,41.706,35.361
2,21,18,0,0,15.6,5.2,0,15.6,0,0
2,21,19,0,0,15,3.6,0,15,0,0
2,21,20,0,0,15,2.1,0,15,0,0
2,21,21,0,0,15,2.1,0,15,0,0
2,21,22,0,0,14.4,2.1,0,14.4,0,0
2,21,23,0,0,14.4,2.1,0,14.4,0,0
2,22,0,0,0,15,0,0,15,0,0
2,22,1,0,0,14.4,0,0,14.4,0,0
2,22,2,0,0,13.9,0,0,13.9,0,0
2,22,3,0,0,12.8,2.1,0,12.8,0,0
2,22,4,0,0,12.8,2.1,0,12.8,0,0
2,22,5,0,0,12.8,2.1,0,12.8,0,0
2,22,6,6,10,13.3,2.1,10.064,11.762,8.845,3.119
2,22,7,284,60,16.7,1.5,175.996,19.869,143.272,134.779
2,22,8,552,100,19.4,2.6,450.118,29.441,370.26,355.699
2,22,9,694,132,21.7,2.1,706.615,39.686,562.681,541.6
2,22,10,759,153,23.9,2.6,889.897,45.669,690.304,664.203
2,22,11,788,164,25.6,0.5,991.231,59.605,713.725,686.642
2,22,12,779,165,24.4,4.1,990.203,45.832,768.138,738.703
2,22,13,764,157,22.8,5.7,918.165,39.619,734.93,706.943
2,22,14,710,139,22.2,4.6,755.108,37.886,607.818,585.025
2,22,15,594,109,21.1,4.6,515.411,31.667,422.213,406.016
2,22,16,369,70,20,5.2,238.642,24.142,193.61,183.924
2,22,17,38,25,17.8,4.1,34.896,17.588,28.932,22.832
2,22,18,0,0,16.7,4.6,0,16.7,0,0
2,22,19,0,0,16.7,3.6,0,16.7,0,0
2,22,20,0,0,15.6,1.5,0,15.6,0,0
2,22,21,0,0,15.6,1.5,0,15.6,0,0
2,22,22,0,0,15.6,0,0,15.6,0,0
2,22,23,0,0,15,2.6,0,15,0,0
2,23,0,0,0,15,2.6,0,15,0,0
2,23,1,0,0,14.4,2.1,0,14.4,0,0
2,23,2,0,0,14.4,2.1,0,14.4,0,0
2,23,3,0,0,13.3,2.6,0,13.3,0,0
2,23,4,0,0,11.7,4.1,0,11.7,0,0
2,23,5,0,0,11.1,2.6,0,11.1,0,0
2,23,6,1,11,12.2,2.6,9.9,10.676,9.029,3.3
2,23,7,246,60,13.3,3.1,162.463,15.533,135.594,127.277
2,23,8,468,115,14.4,2.6,412.734,23.503,349.852,335.908
2,23,9,658,125,16.7,1.5,671.605,35.451,546.274,525.799
2,23,10,757,137,16.7,4.1,870.412,35.271,711.737,684.738
2,23,11,672,201,16.7,4.1,918.312,36.653,746.417,717.933
2,23,12,764,154,16.1,4.6,963.092,35.948,785.585,755.374
2,23,13,433,245,16.1,5.2,699.356,29.666,587.999,565.966
2,23,14,422,225,15.6,4.1,608.748,28.741,512.929,493.655
2,23,15,200,144,15,4.6,287.461,20.604,249.79,238.669
2,23,16,48,87,13.9,4.1,105.657,15.285,93.327,85.934
2,23,17,0,18,13.3,4.1,15.94,12.315,14.525,8.695
2,23,18,0,0,12.8,2.1,0,12.8,0,0
2,23,19,0,0,12.8,3.1,0,12.8,0,0
2,23,20,0,0,12.8,3.1,0,12.8,0,0
2,23,21,0,0,12.8,0,0,12.8,0,0
2,23,22,0,0,12.8,0,0,12.8,0,0
2,23,23,0,0,12.8,0,0,12.8,0,0
2,24,0,0,0,12.8,0,0,12.8,0,0
2,24,1,0,0,12.8,2.1,0,12.8,0,0
2,24,2,0,0,12.8,0,0,12.8,0,0
2,24,3,0,0,12.8,0,0,12.8,0,0
2,24,4,0,0,12.8,0,0,12.8,0,0
2,24,5,0,0,12.8,0,0,12.8,0,0
2,24,6,0,11,12.8,3.1,9.724,11.321,8.9,3.173
2,24,7,4,50,12.8,2.6,46.311,12.153,42.062,35.71
2,24,8,5,160,12.8,0,154.958,16.929,138.236,129.859
2,24,9,9,205,13.3,1.5,200.051,17.749,177.864,168.561
2,24,10,550,242,15,0,791.504,43.286,621.727,598.393
2,24,11,145,298,15.6,3.1,463.898,26.965,395.252,379.915
2,24,12,308,306,15.6,4.6,654.48,28.426,553.768,533.017
2,24,13,645,233,15,4.1,884.312,33.873,728.425,700.717
2,24,14,428,224,15,4.6,612.353,27.721,518.479,499.007
2,24,15,255,194,14.4,5.2,377.945,21.29,327.482,314.199
2,24,16,436,64,14.4,4.6,262.608,19.068,217.063,206.791
2,24,17,105,24,12.8,4.1,53.786,12.976,42.857,36.49
2,24,18,0,0,12.8,3.6,0,12.8,0,0
2,24,19,0,0,12.2,3.1,0,12.2,0,0
2,24,20,0,0,12.2,2.6,0,12.2,0,0
2,24,21,0,0,11.7,3.1,0,11.7,0,0
2,24,22,0,0,11.7,0,0,11.7,0,0
2,24,23,0,0,11.7,1.5,0,11.7,0,0
2,25,0,0,0,11.7,0,0,11.7,0,0
2,25,1,0,0,11.7,2.1,0,11.7,0,0
2,25,2,0,0,11.7,2.1,0,11.7,0,0
2,25,3,0,0,11.7,2.1,0,11.7,0,0
2,25,4,0,0,11.7,2.6,0,11.7,0,0
2,25,5,0,0,11.7,1.5,0,11.7,0,0
2,25,6,31,15,12.2,0,20.48,9.732,17.062,11.184
2,25,7,265,81,12.2,2.1,186.2,15.364,156.298,147.505
2,25,8,30,127,13.3,2.1,141.304,15.822,126.265,118.157
2,25,9,73,304,13.9,2.6,373.882,21.978,325.765,312.532
2,25,10,87,274,15,1.5,356.71,24.882,306.861,294.172
2,25,11,263,384,15.6,3.1,678.483,30.869,567.373,546.117
2,25,12,134,387,16.1,2.6,555.498,30.11,466.246,448.591
2,25,13,127,363,16.1,4.1,497.348,26.571,424.487,408.217
2,25,14,265,314,15.6,6.7,554.616,24.218,477.84,459.79
2,25,15,62,147,15,5.7,183.317,17.874,162.138,153.209
2,25,16,7,86,14.4,5.2,82.926,14.955,74.437,67.438
2,25,17,2,24,13.9,5.2,22.189,13.12,20.034,14.101
2,25,18,0,0,13.3,3.1,0,13.3,0,0
2,25,19,0,0,13.3,4.1,0,13.3,0,0
2,25,20,0,0,13.3,1,0,13.3,0,0
2,25,21,0,0,13.3,3.1,0,13.3,0,0
2,25,22,0,0,12.8,4.6,0,12.8,0,0
2,25,23,0,0,12.8,2.6,0,12.8,0,0
2,26,0,0,0,12.8,0,0,12.8,0,0
2,26,1,0,0,12.8,0,0,12.8,0,0
2,26,2,0,0,12.8,0,0,12.8,0,0
2,26,3,0,0,12.8,0,0,12.8,0,0
2,26,4,0,0,12.8,0,0,12.8,0,0
2,26,5,0,0,12.8,0,0,12.8,0,0
2,26,6,0,19,12.8,1.5,17.162,11.161,15.719,9.867
2,26,7,1,53,12.8,2.1,48.014,12.167,43.74,37.355
2,26,8,4,130,12.8,1.5,122.681,14.477,110.657,102.893
2,26,9,258,271,14.4,2.6,490.669,25.321,420.167,404.036
2,26,10,9,263,15.6,2.1,257.409,22.268,224.206,213.752
2,26,11,10,236,16.7,1.5,230.378,22.476,200.474,190.618
2,26,12,9,297,16.1,4.1,291.625,21.461,254.969,243.71
2,26,13,8,288,15.6,4.1,282.117,20.876,247.319,236.263
2,26,14,5,243,15,5.2,234.983,18.64,208.109,198.062
2,26,15,6,90,14.4,4.6,84.398,15.138,75.869,68.841
2,26,16,2,43,13.9,5.2,38.94,13.445,35.236,29.016
2,26,17,0,14,13.3,5.2,12.376,12.253,11.281,5.51
2,26,18,0,0,12.8,4.1,0,12.8,0,0
2,26,19,0,0,12.8,2.6,0,12.8,0,0
2,26,20,0,0,12.8,2.6,0,12.8,0,0
2,26,21,0,0,12.8,0,0,12.8,0,0
2,26,22,0,0,12.8,1.5,0,12.8,0,0
2,26,23,0,0,12.8,1,0,12.8,0,0
2,27,0,0,0,12.8,2.6,0,12.8,0,0
2,27,1,0,0,12.2,2.1,0,12.2,0,0
2,27,2,0,0,12.2,2.1,0,12.2,0,0
2,27,3,0,0,12.2,0,0,12.2,0,0
2,27,4,0,0,12.2,1.5,0,12.2,0,0
2,27,5,0,0,12.2,0,0,12.2,0,0
2,27,6,0,16,12.2,2.6,14.173,10.718,13.007,7.204
2,27,7,0,84,12.2,2.6,79.56,12.416,72.468,65.51
2,27,8,0,195,13.3,2.1,188.325,16.735,168.252,159.177
2,27,9,1,288,13.9,1.5,280.696,20.855,246.096,235.072
2,27,10,0,329,14.4,3.1,318.354,21.077,278.832,266.927
2,27,11,2,373,14.4,3.1,364.963,22.277,317.885,304.88
2,27,12,0,360,14.4,3.6,348.718,21.618,304.665,292.039
2,27,13,1,347,14.4,3.1,337.8,21.711,294.998,282.644
2,27,14,0,311,15.6,1.5,303.229,23.804,262.243,250.789
2,27,15,2,207,16.1,0,200.249,24.767,172.378,163.205
2,27,16,1,120,16.1,2.1,116.468,18.031,103.408,95.801
2,27,17,0,32,15,2.6,30.519,14.31,27.565,21.491
2,27,18,0,0,14.4,2.1,0,14.4,0,0
2,27,19,0,0,14.4,3.1,0,14.4,0,0
2,27,20,0,0,14.4,2.6,0,14.4,0,0
2,27,21,0,0,14.4,2.1,0,14.4,0,0
2,27,22,0,0,14.4,3.1,0,14.4,0,0
2,27,23,0,0,14.4,3.1,0,14.4,0,0
2,28,0,0,0,14.4,2.6,0,14.4,0,0
2,28,1,0,0,14.4,4.1,0,14.4,0,0
2,28,2,0,0,13.9,3.6,0,13.9,0,0
2,28,3,0,0,13.9,3.6,0,13.9,0,0
2,28,4,0,0,14.4,4.6,0,14.4,0,0
2,28,5,0,0,14.4,4.1,0,14.4,0,0
2,28,6,0,10,14.4,5.7,8.832,13.348,8.012,2.301
2,28,7,1,46,14.4,5.2,41.173,13.875,37.218,30.959
2,28,8,0,113,15.6,5.7,103.066,16.298,92.262,84.892
2,28,9,0,254,17.2,5.2,242.867,20.738,213.05,202.879
2,28,10,156,192,18.3,5.2,358.641,24.287,309.332,296.573
2,28,11,160,178,17.2,5.7,359.832,23.034,312.3,299.456
2,28,12,4,159,17.2,5.7,148.826,19.201,131.479,123.254
2,28,13,11,182,17.2,6.7,177.525,19.211,156.819,148.014
2,28,14,7,138,16.7,6.2,131.016,18.036,116.338,108.449
2,28,15,0,95,16.1,10.3,85.276,16.427,76.292,69.255
2,28,16,2,54,16.1,6.7,48.755,15.893,43.654,37.27
2,28,17,0,15,15.6,6.7,13.263,14.758,11.955,6.172
2,28,18,0,0,15.6,9.3,0,15.6,0,0
2,28,19,0,0,16.1,4.6,0,16.1,0,0
2,28,20,0,0,16.1,4.6,0,16.1,0,0
2,28,21,0,0,15.2,3.9,0,15.2,0,0
2,28,22,0,0,14.4,3.3,0,14.4,0,0
2,28,23,0,0,13.5,2.6,0,13.5,0,0
3,1,0,0,0,12.6,2,0,12.6,0,0
3,1,1,0,0,11.7,1.3,0,11.7,0,0
3,1,2,0,0,10.9,0.7,0,10.9,0,0
3,1,3,0,0,10,0,0,10,0,0
3,1,4,0,0,8.9,1.5,0,8.9,0,0
3,1,5,0,0,8.3,1.5,0,8.3,0,0
3,1,6,17,20,8.3,1.5,21.557,6.655,19.131,13.215
3,1,7,467,51,9.4,0,235.402,16.681,191.167,181.541
3,1,8,694,68,12.2,0,499.389,31.218,406.434,390.744
3,1,9,741,110,15.6,0,722.273,43.463,564.266,543.126
3,1,10,885,92,16.1,3.1,926.555,37.851,748.012,719.459
3,1,11,890,98,16.7,4.1,1004.354,38.542,808.699,777.444
3,1,12,930,99,16.1,5.2,1051.597,36.375,855.978,822.531
3,1,13,909,94,16.1,4.6,969.251,36.305,788.785,758.43
3,1,14,867,84,15.6,4.6,809.728,32.46,669.202,643.969
3,1,15,716,68,15.6,4.6,542.928,26.782,454.199,436.949
3,1,16,463,83,15,5.2,288.395,20.074,237.734,226.93
3,1,17,47,39,13.9,4.6,52.413,14.07,44.696,38.293
3,1,18,0,0,13.3,2.1,0,13.3,0,0
3,1,19,0,0,12.8,2.1,0,12.8,0,0
3,1,20,0,0,13.3,3.1,0,13.3,0,0
3,1,21,0,0,13.3,2.6,0,13.3,0,0
3,1,22,0,0,13.9,2.1,0,13.9,0,0
3,1,23,0,0,12.8,2.1,0,12.8,0,0
3,2,0,0,0,12.8,2.1,0,12.8,0,0
3,2,1,0,0,12.8,2.1,0,12.8,0,0
3,2,2,0,0,12.8,1,0,12.8,0,0
3,2,3,0,0,12.2,1.5,0,12.2,0,0
3,2,4,0,0,11.7,1,0,11.7,0,0
3,2,5,0,0,12.2,2.1,0,12.2,0,0
3,2,6,1,14,12.2,1.5,12.548,10.539,11.466,5.692
3,2,7,13,58,12.8,2.1,56.878,12.395,51.27,44.738
3,2,8,8,187,13.9,3.1,182.993,16.759,163.341,154.383
3,2,9,87,333,15,0,414.86,30.562,347.083,333.222
3,2,10,96,304,16.7,1.5,396.448,27.849,336.302,322.761
3,2,11,485,285,16.7,3.6,820.116,34.418,674.044,648.614
3,2,12,291,335,16.1,3.6,668.366,31.427,557.419,536.533
3,2,13,548,252,17.2,3.6,813.688,35.345,665.46,640.379
3,2,14,276,305,16.1,3.6,549.847,28.804,463.525,445.961
3,2,15,525,144,16.1,3.6,501.803,27.157,420.723,404.575
3,2,16,303,112,15,3.6,247.123,20.229,206.793,196.78
3,2,17,81,29,13.9,3.6,49.147,13.985,39.805,33.497
3,2,18,0,0,13.9,3.1,0,13.9,0,0
3,2,19,0,0,13.9,2.6,0,13.9,0,0
3,2,20,0,0,13.9,1.5,0,13.9,0,0
3,2,21,0,0,13.3,2.1,0,13.3,0,0
3,2,22,0,0,13.3,0,0,13.3,0,0
3,2,23,0,0,12.8,0,0,12.8,0,0
3,3,0,0,0,12.2,0,0,12.2,0,0
3,3,1,0,0,12.2,1.5,0,12.2,0,0
3,3,2,0,0,11.7,1.5,0,11.7,0,0
3,3,3,0,0,11.7,1.5,0,11.7,0,0
3,3,4,0,0,11.1,2.1,0,11.1,0,0
3,3,5,0,0,11.1,2.1,0,11.1,0,0
3,3,6,57,19,11.7,2.1,30.296,10.668,24.5,18.484
3,3,7,306,82,14.4,1.5,207.456,18.554,171.429,162.279
3,3,8,248,164,16.1,0,326.933,28.653,272.587,260.852
3,3,9,1,215,17.8,0,202.208,26.749,172.465,163.291
3,3,10,495,276,18.9,2.1,778.725,38.034,628.304,604.711
3,3,11,752,172,20.6,1.5,969.027,48.259,742.211,713.909
3,3,12,681,235,21.1,2.1,970.607,47.026,748.282,719.717
3,3,13,883,111,23.3,2.1,964.453,48.971,735.554,707.54
3,3,14,688,163,19.4,4.6,762.266,35.301,621.664,598.332
3,3,15,556,109,17.8,4.1,488.861,28.493,406.719,391.019
3,3,16,294,108,17.2,3.1,238.4,22.514,197.321,187.543
3,3,17,70,24,15.6,3.1,40.76,15.518,32.623,26.452
3,3,18,0,0,15,1.5,0,15,0,0
3,3,19,0,0,14.4,1.5,0,14.4,0,0
3,3,20,0,0,14.4,0,0,14.4,0,0
3,3,21,0,0,14.4,0,0,14.4,0,0
3,3,22,0,0,14.4,1.5,0,14.4,0,0
3,3,23,0,0,14.4,2.1,0,14.4,0,0
3,4,0,0,0,15,2.1,0,15,0,0
3,4,1,0,0,13.3,0,0,13.3,0,0
3,4,2,0,0,13.3,0,0,13.3,0,0
3,4,3,0,0,17.2,3.1,0,17.2,0,0
3,4,4,0,0,15,0,0,15,0,0
3,4,5,0,0,11.7,0,0,11.7,0,0
3,4,6,1,17,16.1,0,15.213,13.381,13.741,7.925
3,4,7,19,64,16.7,1.5,67.323,16.647,59.398,52.704
3,4,8,14,150,19.4,2.1,147.576,21.778,128.621,120.46
3,4,9,117,230,21.7,3.1,332.734,28.41,281.072,269.105
3,4,10,21,329,25.6,4.6,335.261,31.827,279.057,267.146
3,4,11,7,306,27.2,2.6,297.222,33.978,244.824,233.834
3,4,12,277,295,27.2,2.6,608.73,41.324,483.331,465.092
3,4,13,244,384,24.4,3.1,642.11,39.286,515.013,495.665
3,4,14,572,248,24.4,3.1,751.848,41.821,593.744,571.493
3,4,15,210,171,23.9,4.1,319.871,30.966,264.834,253.31
3,4,16,102,119,20,2.6,165.668,23.413,140.041,131.622
3,4,17,11,35,18.9,1.5,36.945,18.632,32.105,25.945
3,4,18,0,0,18.9,2.1,0,18.9,0,0
3,4,19,0,0,18.9,0,0,18.9,0,0
3,4,20,0,0,18.9,0,0,18.9,0,0
3,4,21,0,0,18.9,2.1,0,18.9,0,0
3,4,22,0,0,17.2,2.6,0,17.2,0,0
3,4,23,0,0,17.8,0,0,17.8,0,0
3,5,0,0,0,17.2,2.6,0,17.2,0,0
3,5,1,0,0,16.1,0,0,16.1,0,0
3,5,2,0,0,15.6,1,0,15.6,0,0
3,5,3,0,0,15.6,1,0,15.6,0,0
3,5,4,0,0,16.1,1,0,16.1,0,0
3,5,5,0,0,16.7,5.2,0,16.7,0,0
3,5,6,1,5,17.2,3.6,4.563,15.817,4.037,0
3,5,7,5,54,16.7,4.1,49.911,16.304,44.474,38.075
3,5,8,16,113,16.7,4.6,112.062,17.702,99.428,91.906
3,5,9,7,140,16.7,3.6,132.608,18.43,117.533,109.619
3,5,10,7,262,17.8,0,252.663,26.897,215.347,205.118
3,5,11,1,249,17.8,6.2,233.28,21.017,204.376,194.423
3,5,12,4,209,16.1,5.7,196.8,18.782,174.194,164.978
3,5,13,5,199,16.7,4.1,188.016,19.737,165.691,156.677
3,5,14,1,156,17.2,5.7,143.13,18.856,126.643,118.527
3,5,15,0,124,17.8,5.2,112.806,18.914,99.788,92.258
3,5,16,0,69,17.2,3.1,62.018,17.333,55.258,48.646
3,5,17,0,17,16.1,3.1,15.038,14.94,13.544,7.731
3,5,18,0,0,15.6,3.6,0,15.6,0,0
3,5,19,0,0,15,3.1,0,15,0,0
3,5,20,0,0,15,4.6,0,15,0,0
3,5,21,0,0,15,4.6,0,15,0,0
3,5,22,0,0,15.6,2.1,0,15.6,0,0
3,5,23,0,0,15,4.6,0,15,0,0
3,6,0,0,0,15,3.1,0,15,0,0
3,6,1,0,0,15,3.6,0,15,0,0
3,6,2,0,0,15.6,2.6,0,15.6,0,0
3,6,3,0,0,15,3.1,0,15,0,0
3,6,4,0,0,14.4,2.6,0,14.4,0,0
3,6,5,0,0,17.2,2.6,0,17.2,0,0
3,6,6,0,16,15,2.6,14.159,13.585,12.83,7.031
3,6,7,0,56,14.4,2.1,49.934,13.843,45.195,38.782
3,6,8,1,175,15.6,3.1,164.748,18.021,146.316,137.754
3,6,9,53,220,16.1,3.1,258.534,21.065,226.225,215.719
3,6,10,135,270,18.9,2.1,408.957,28.788,345.342,331.533
3,6,11,64,334,19.4,1.5,401.999,30.648,336.538,322.99
3,6,12,11,239,17.2,4.1,233.174,21.658,203.678,193.743
3,6,13,10,304,16.1,4.6,297.944,21.248,260.745,249.331
3,6,14,3,262,16.1,3.6,250.431,20.941,219.47,209.136
3,6,15,3,176,15.6,4.6,166.125,18.067,147.484,138.895
3,6,16,3,76,15.6,3.6,69.941,16,62.587,55.829
3,6,17,5,14,15,3.6,13.491,13.857,11.922,6.14
3,6,18,0,0,14.4,4.1,0,14.4,0,0
3,6,19,0,0,14.4,3.6,0,14.4,0,0
3,6,20,0,0,14.4,3.6,0,14.4,0,0
3,6,21,0,0,14.4,3.1,0,14.4,0,0
3,6,22,0,0,14.4,0,0,14.4,0,0
3,6,23,0,0,13.9,3.1,0,13.9,0,0
3,7,0,0,0,13.9,3.1,0,13.9,0,0
3,7,1,0,0,14.4,0,0,14.4,0,0
3,7,2,0,0,13.9,5.2,0,13.9,0,0
3,7,3,0,0,13.3,1.5,0,13.3,0,0
3,7,4,0,0,13.3,1.5,0,13.3,0,0
3,7,5,0,0,14.4,3.6,0,14.4,0,0
3,7,6,3,13,15,4.1,11.952,13.758,10.651,4.892
3,7,7,7,57,15,4.1,53.399,14.668,47.868,41.403
3,7,8,2,162,15,3.6,151.819,17.012,135.435,127.121
3,7,9,1,261,15,4.1,248.104,19.234,219.147,208.822
3,7,10,9,285,15.6,4.1,277.371,20.682,243.373,232.421
3,7,11,10,322,14.4,5.2,315.723,19.574,278.445,266.55
3,7,12,6,379,15,4.1,371.063,22.256,323.23,310.071
3,7,13,728,165,16.7,3.1,893.871,36.881,725.434,697.854
3,7,14,621,195,16.7,4.6,734.304,31.908,609.025,586.185
3,7,15,224,213,14.4,6.2,362.958,20.427,315.984,303.034
3,7,16,49,77,15.6,4.6,92.446,16.756,80.84,73.71
3,7,17,2,21,15,4.6,18.946,14.133,17.011,11.135
3,7,18,0,0,15,3.6,0,15,0,0
3,7,19,0,0,15,2.1,0,15,0,0
3,7,20,0,0,15,3.6,0,15,0,0
3,7,21,0,0,15,4.6,0,15,0,0
3,7,22,0,0,15,4.6,0,15,0,0
3,7,23,0,0,15,4.1,0,15,0,0
3,8,0,0,0,13.9,3.6,0,13.9,0,0
3,8,1,0,0,13.9,5.2,0,13.9,0,0
3,8,2,0,0,13.3,3.1,0,13.3,0,0
3,8,3,0,0,12.2,3.1,0,12.2,0,0
3,8,4,0,0,12.8,5.2,0,12.8,0,0
3,8,5,0,0,13.9,3.6,0,13.9,0,0
3,8,6,9,21,13.9,4.1,20.718,12.845,18.322,12.421
3,8,7,528,56,14.4,5.2,265.449,18.206,214.535,204.326
3,8,8,716,83,15.6,3.6,533.703,26.74,444.648,427.716
3,8,9,764,108,16.1,4.1,739.478,31.669,612.975,589.982
3,8,10,838,108,16.1,5.2,914.915,33.398,755.183,726.317
3,8,11,749,160,16.7,5.2,953.67,34.998,781.578,751.546
3,8,12,880,125,16.7,6.2,1032.684,34.546,848.233,815.151
3,8,13,703,199,16.7,6.2,906.844,32.488,752.076,723.346
3,8,14,825,107,16.1,5.2,806.784,31.613,669.643,644.392
3,8,15,751,87,16.1,5.2,583.126,27.219,486.919,468.555
3,8,16,564,63,15,3.6,307.542,21.783,248.819,237.724
3,8,17,50,26,13.9,4.1,34.956,13.772,28.774,22.677
3,8,18,0,0,13.9,4.1,0,13.9,0,0
3,8,19,0,0,13.9,4.1,0,13.9,0,0
3,8,20,0,0,13.3,5.2,0,13.3,0,0
3,8,21,0,0,13.9,5.2,0,13.9,0,0
3,8,22,0,0,13.9,3.6,0,13.9,0,0
3,8,23,0,0,13.3,1.5,0,13.3,0,0
3,9,0,0,0,13.9,2.6,0,13.9,0,0
3,9,1,0,0,13.9,1.5,0,13.9,0,0
3,9,2,0,0,13.9,0,0,13.9,0,0
3,9,3,0,0,13.9,1.5,0,13.9,0,0
3,9,4,0,0,13.9,2.6,0,13.9,0,0
3,9,5,0,0,13.9,2.1,0,13.9,0,0
3,9,6,1,22,13.9,2.6,19.716,12.664,17.881,11.989
3,9,7,12,92,13.9,3.6,89.283,14.375,80.133,73.016
3,9,8,9,147,14.4,4.1,140.619,16.14,125.829,117.73
3,9,9,8,240,15.6,3.6,231.43,19.643,204.007,194.063
3,9,10,502,352,18.3,2.6,862.844,38.418,694.911,668.618
3,9,11,155,283,17.8,5.7,453.023,26.032,387.703,372.603
3,9,12,207,358,16.1,5.7,588.581,26.198,503.323,484.388
3,9,13,568,242,16.7,5.7,819.43,31.156,684.028,658.187
3,9,14,838,101,16.7,5.7,810.165,31.307,673.41,648.005
3,9,15,731,84,16.1,5.2,566.604,26.91,473.772,455.86
3,9,16,463,79,15,4.6,282.731,20.431,232.08,221.422
3,9,17,22,41,15,5.2,44.26,14.976,38.6,32.315
3,9,18,0,0,14.4,4.6,0,14.4,0,0
3,9,19,0,0,14.4,4.1,0,14.4,0,0
3,9,20,0,0,13.9,3.6,0,13.9,0,0
3,9,21,0,0,13.9,2.6,0,13.9,0,0
3,9,22,0,0,13.3,2.6,0,13.3,0,0
3,9,23,0,0,12.8,2.6,0,12.8,0,0
3,10,0,0,0,12.8,1.5,0,12.8,0,0
3,10,1,0,0,12.2,0,0,12.2,0,0
3,10,2,0,0,11.1,2.1,0,11.1,0,0
3,10,3,0,0,10.6,3.1,0,10.6,0,0
3,10,4,0,0,12.2,0,0,12.2,0,0
3,10,5,0,0,12.8,3.1,0,12.8,0,0
3,10,6,41,23,12.8,3.6,29.199,11.921,24.312,18.299
3,10,7,50,121,13.9,2.1,137.974,15.799,121.789,113.78
3,10,8,9,149,15,2.6,142.42,17.239,126.812,118.692
3,10,9,76,205,15.6,1.5,259.787,21.762,226.506,215.992
3,10,10,299,326,16.1,3.6,636.742,29.51,535.786,515.692
3,10,11,557,275,17.2,5.7,880.812,32.829,729.599,701.84
3,10,12,747,208,17.8,5.2,1008.652,37.082,818.163,786.476
